#Dt	counts	counts_err
3.5799999999999996e-09	8.0	1.7976278324112974e-07
3.59e-09	7.0	1.8042668416437577e-07
3.6e-09	8.0	1.7976278324112974e-07
3.6099999999999997e-09	12.0	1.7710717954814574e-07
3.62e-09	5.0	1.817544860108678e-07
3.6299999999999997e-09	6.0	1.810905850876218e-07
3.64e-09	7.0	1.8042668416437577e-07
3.6499999999999996e-09	8.0	1.7976278324112974e-07
3.6599999999999998e-09	9.0	1.7909888231788369e-07
3.67e-09	8.0	1.7976278324112974e-07
3.6799999999999997e-09	8.0	1.7976278324112974e-07
3.69e-09	12.0	1.7710717954814574e-07
3.6999999999999996e-09	13.0	1.7644327862489963e-07
3.71e-09	8.0	1.7976278324112974e-07
3.72e-09	14.0	1.757793777016536e-07
3.73e-09	9.0	1.7909888231788369e-07
3.74e-09	11.0	1.7777108047139163e-07
3.75e-09	10.0	1.7843498139463763e-07
3.7599999999999994e-09	7.0	1.8042668416437577e-07
3.77e-09	9.0	1.7909888231788369e-07
3.78e-09	9.0	1.7909888231788369e-07
3.7899999999999995e-09	11.0	1.7777108047139163e-07
3.8e-09	7.0	1.8042668416437577e-07
3.81e-09	7.0	1.8042668416437577e-07
3.82e-09	10.0	1.7843498139463763e-07
3.829999999999999e-09	7.0	1.8042668416437577e-07
3.84e-09	6.0	1.810905850876218e-07
3.85e-09	5.0	1.817544860108678e-07
3.8599999999999995e-09	9.0	1.7909888231788369e-07
3.87e-09	5.0	1.817544860108678e-07
3.88e-09	6.0	1.810905850876218e-07
3.89e-09	12.0	1.7710717954814574e-07
3.899999999999999e-09	9.0	1.7909888231788369e-07
3.91e-09	5.0	1.817544860108678e-07
3.92e-09	8.0	1.7976278324112974e-07
3.9299999999999995e-09	7.0	1.8042668416437577e-07
3.94e-09	12.0	1.7710717954814574e-07
3.95e-09	11.0	1.7777108047139163e-07
3.9599999999999996e-09	7.0	1.8042668416437577e-07
3.97e-09	8.0	1.7976278324112974e-07
3.98e-09	6.0	1.810905850876218e-07
3.99e-09	13.0	1.7644327862489963e-07
3.9999999999999994e-09	11.0	1.7777108047139163e-07
4.01e-09	9.0	1.7909888231788369e-07
4.02e-09	10.0	1.7843498139463763e-07
4.0299999999999995e-09	9.0	1.7909888231788369e-07
4.04e-09	8.0	1.7976278324112974e-07
4.05e-09	9.0	1.7909888231788369e-07
4.06e-09	10.0	1.7843498139463763e-07
4.069999999999999e-09	12.0	1.7710717954814574e-07
4.08e-09	5.0	1.817544860108678e-07
4.09e-09	8.0	1.7976278324112974e-07
4.0999999999999995e-09	9.0	1.7909888231788369e-07
4.11e-09	14.0	1.757793777016536e-07
4.12e-09	7.0	1.8042668416437577e-07
4.13e-09	10.0	1.7843498139463763e-07
4.139999999999999e-09	7.0	1.8042668416437577e-07
4.15e-09	2.0	1.8374618878060593e-07
4.16e-09	7.0	1.8042668416437577e-07
4.1699999999999995e-09	5.0	1.817544860108678e-07
4.18e-09	7.0	1.8042668416437577e-07
4.19e-09	9.0	1.7909888231788369e-07
4.1999999999999996e-09	5.0	1.817544860108678e-07
4.21e-09	13.0	1.7644327862489963e-07
4.22e-09	6.0	1.810905850876218e-07
4.23e-09	11.0	1.7777108047139163e-07
4.2399999999999994e-09	8.0	1.7976278324112974e-07
4.25e-09	8.0	1.7976278324112974e-07
4.26e-09	8.0	1.7976278324112974e-07
4.2699999999999995e-09	4.0	1.8241838693411377e-07
4.28e-09	11.0	1.7777108047139163e-07
4.29e-09	6.0	1.810905850876218e-07
4.3e-09	5.0	1.817544860108678e-07
4.309999999999999e-09	8.0	1.7976278324112974e-07
4.32e-09	14.0	1.757793777016536e-07
4.33e-09	4.0	1.8241838693411377e-07
4.3399999999999995e-09	6.0	1.810905850876218e-07
4.35e-09	8.0	1.7976278324112974e-07
4.36e-09	7.0	1.8042668416437577e-07
4.37e-09	11.0	1.7777108047139163e-07
4.379999999999999e-09	6.0	1.810905850876218e-07
4.39e-09	5.0	1.817544860108678e-07
4.4e-09	9.0	1.7909888231788369e-07
4.4099999999999995e-09	4.0	1.8241838693411377e-07
4.42e-09	14.0	1.757793777016536e-07
4.43e-09	9.0	1.7909888231788369e-07
4.4399999999999996e-09	6.0	1.810905850876218e-07
4.45e-09	7.0	1.8042668416437577e-07
4.46e-09	9.0	1.7909888231788369e-07
4.47e-09	6.0	1.810905850876218e-07
4.4799999999999994e-09	9.0	1.7909888231788369e-07
4.49e-09	10.0	1.7843498139463763e-07
4.5e-09	11.0	1.7777108047139163e-07
4.5099999999999995e-09	9.0	1.7909888231788369e-07
4.52e-09	8.0	1.7976278324112974e-07
4.53e-09	6.0	1.810905850876218e-07
4.54e-09	7.0	1.8042668416437577e-07
4.549999999999999e-09	14.0	1.757793777016536e-07
4.56e-09	7.0	1.8042668416437577e-07
4.57e-09	3.0	1.8308228785735974e-07
4.5799999999999995e-09	11.0	1.7777108047139163e-07
4.59e-09	13.0	1.7644327862489963e-07
4.6e-09	9.0	1.7909888231788369e-07
4.61e-09	13.0	1.7644327862489963e-07
4.619999999999999e-09	11.0	1.7777108047139163e-07
4.63e-09	8.0	1.7976278324112974e-07
4.64e-09	5.0	1.817544860108678e-07
4.6499999999999995e-09	6.0	1.810905850876218e-07
4.66e-09	9.0	1.7909888231788369e-07
4.67e-09	8.0	1.7976278324112974e-07
4.6799999999999996e-09	8.0	1.7976278324112974e-07
4.689999999999999e-09	9.0	1.7909888231788369e-07
4.7e-09	10.0	1.7843498139463763e-07
4.71e-09	11.0	1.7777108047139163e-07
4.7199999999999994e-09	10.0	1.7843498139463763e-07
4.73e-09	7.0	1.8042668416437577e-07
4.74e-09	12.0	1.7710717954814574e-07
4.7499999999999995e-09	5.0	1.817544860108678e-07
4.76e-09	9.0	1.7909888231788369e-07
4.77e-09	9.0	1.7909888231788369e-07
